source	relation	target	status	note
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_RESPONSE_READOUT_DISCIPLINE	paper_facing_ontology_discipline	Equation anchor supports this named claim.
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_STAGE023_FULL_BUNDLE_RATIO	exact_within_reduced_bundle	Equation anchor supports this named claim.
EQ_FULL_BUNDLE_TARGET_SURFACE	SUPPORTS_CLAIM	CLAIM_STAGE025_031_SELECTED_BRANCH	exact_within_selected_reduced_branch	Equation anchor supports this named claim.
EQ_FULL_BUNDLE_TARGET_SURFACE	ANCHORS	MATH_FULL_BUNDLE_TARGET_SURFACE	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_G2_COMMON_TANGENT	ANCHORS	ANOMALY_G2_COMMON_QUOTIENT	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_G2_COMMON_TANGENT	SUPPORTS_CLAIM	CLAIM_G2_COMMON_QUOTIENT	conditional_reduced_residual	Equation anchor supports this named claim.
EQ_GNLS_BULK	SUPPORTS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Equation anchor supports this named claim.
EQ_GNLS_BULK	ANCHORS	MATH_GNLS_PSI	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_GROUPED_RESPONSE_MOMENTS	SUPPORTS_CLAIM	CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	exact_assembly_within_closure	Equation anchor supports this named claim.
EQ_GROUPED_RESPONSE_MOMENTS	SUPPORTS_CLAIM	CLAIM_STAGE022_P0_TARGET	exact_within_grouped_bridge	Equation anchor supports this named claim.
EQ_GROUPED_RESPONSE_MOMENTS	FEEDS	EQ_FULL_BUNDLE_TARGET_SURFACE	reduced	Response moments enter one-pole and full-bundle target surface.
EQ_GROUPED_RESPONSE_MOMENTS	ANCHORS	MT_STAGE022_GROUPED_P2_BRIDGE	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_LEPTON_HALF_INTEGER	SUPPORTS_CLAIM	CLAIM_LEPTON_HALF_INTEGER_CONDITIONAL	conditional_open	Equation anchor supports this named claim.
EQ_LEPTON_HALF_INTEGER	ANCHORS	LEPTON_HALF_INTEGER_CONDITIONAL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_LEPTON_MASS_PARTITION	SUPPORTS_CLAIM	CLAIM_LEPTON_MASS_REDUCED_LEDGER	reduced_closure_theorem_open_scale	Equation anchor supports this named claim.
EQ_LEPTON_MASS_PARTITION	ANCHORS	LEPTON_MASS_REDUCED_LEDGER	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_LONGITUDINAL_IDENTITY	SUPPORTS_CLAIM	CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	exact_projection_plus_controlled_hook	Equation anchor supports this named claim.
EQ_LONGITUDINAL_IDENTITY	ANCHORS	MATH_LONGITUDINAL_IDENTITY	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_LONGITUDINAL_IDENTITY	REDUCES_TO	MATH_POISSON_HOOK	controlled	Quasi-static longitudinal regime gives Poisson hook.
EQ_MAXWELL_MIXED_TRANSFER	SUPPORTS_CLAIM	CLAIM_MIXED_RECIRCULATION_OPEN	open	Equation anchor supports this named claim.
EQ_MAXWELL_MIXED_TRANSFER	SUPPORTS_CLAIM	CLAIM_MIXED_SECTOR_MICROSCOPIC	exact_gauge_invariant_with_reduced_uses	Equation anchor supports this named claim.
EQ_MAXWELL_MIXED_TRANSFER	SUPPORTS_CLAIM	CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	exact_within_reduced_mixed_kernel	Equation anchor supports this named claim.
EQ_MAXWELL_MIXED_TRANSFER	MULTIPLIES	EQ_COMPACT_L2_FINGERPRINT	reduced	Mixed transfer carries the outgoing fingerprint to the wall branch.
EQ_MAXWELL_MIXED_TRANSFER	ANCHORS	MATH_MAXWELL_MIXED_KERNEL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_MONOMIAL_QUOTIENT	SUPPORTS_CLAIM	CLAIM_5PN_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Equation anchor supports this named claim.
EQ_MONOMIAL_QUOTIENT	SUPPORTS_CLAIM	CLAIM_G2_COMMON_QUOTIENT	conditional_reduced_residual	Equation anchor supports this named claim.
EQ_MONOMIAL_QUOTIENT	FEEDS	EQ_G2_COMMON_TANGENT	conditional	g-2 common tangent target is expressed in quotient coordinates.
EQ_MONOMIAL_QUOTIENT	PARAMETERIZES	EQ_XI1_PREF_SLOPE	exact_within_branch	Quotient coordinates parameterize the Xi1 branch defect.
EQ_MONOMIAL_QUOTIENT	ANCHORS	MATH_MONOMIAL_QUOTIENT	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_P0_TARGET	SUPPORTS_CLAIM	CLAIM_25PN_QUAD_NARROWING	conditional_theorem_open_normalization	Equation anchor supports this named claim.
EQ_P0_TARGET	SUPPORTS_CLAIM	CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	local_closed_tail_conditional	Equation anchor supports this named claim.
EQ_P0_TARGET	SUPPORTS_CLAIM	CLAIM_RESPONSE_READOUT_DISCIPLINE	paper_facing_ontology_discipline	Equation anchor supports this named claim.
EQ_P0_TARGET	SUPPORTS_CLAIM	CLAIM_STAGE022_P0_TARGET	exact_within_grouped_bridge	Equation anchor supports this named claim.
EQ_P0_TARGET	SUPPORTS_CLAIM	CLAIM_STAGE025_031_SELECTED_BRANCH	exact_within_selected_reduced_branch	Equation anchor supports this named claim.
EQ_P0_TARGET	REQUIRED_BY	EQ_4PN_TAIL_BRIDGE	conditional	The 4PN tail bridge uses the same quadrupole normalization.
EQ_P0_TARGET	IS_COMPONENT_OF	EQ_FULL_BUNDLE_TARGET_SURFACE	conditional	Universal quadrupole target is one part of the full-bundle surface.
EQ_P0_TARGET	ANCHORS	OPEN_QUAD_NORMALIZATION	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_PARENT_ACTION_CURRENT	SUPPORTS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Equation anchor supports this named claim.
EQ_PARENT_ACTION_CURRENT	SUPPORTS_CLAIM	CLAIM_PARENT_WALL_STATUS_SPLIT	strict_parent_fail_effective_wall_pass	Equation anchor supports this named claim.
EQ_PARENT_ACTION_CURRENT	ANCHORS	MATH_PARENT_ACTION_CURRENT	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_PROJECTED_CONTINUITY	SUPPORTS_CLAIM	CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	exact_projection_plus_controlled_hook	Equation anchor supports this named claim.
EQ_PROJECTED_CONTINUITY	FEEDS	EQ_LONGITUDINAL_IDENTITY	exact	Longitudinal Helmholtz split of brane velocity gives identity.
EQ_PROJECTED_CONTINUITY	ANCHORS	MATH_PROJECTED_CONTINUITY	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_QEFF_NORMALIZATION	FEEDS	ATOM_HYDROGEN_ZERO_MODE	reduced	Sets observed charge scale in the reduced atomic sector.
EQ_QEFF_NORMALIZATION	SUPPORTS_CLAIM	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Equation anchor supports this named claim.
EQ_QEFF_NORMALIZATION	SUPPORTS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Equation anchor supports this named claim.
EQ_QEFF_NORMALIZATION	SUPPORTS_CLAIM	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	controlled_reduction	Equation anchor supports this named claim.
EQ_QEFF_NORMALIZATION	ANCHORS	MATH_QSTAR_QEFF	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_WALL_MODAL_PDE	SUPPORTS_CLAIM	CLAIM_PARENT_WALL_STATUS_SPLIT	strict_parent_fail_effective_wall_pass	Equation anchor supports this named claim.
EQ_WALL_MODAL_PDE	SUPPORTS_CLAIM	CLAIM_STAGE1_GEOMETRY_LIFT	effective_geometry_lift	Equation anchor supports this named claim.
EQ_WALL_MODAL_PDE	SPECIALIZES_TO	EQ_WALL_P2_STIFFNESS	effective_closure	l=2 specialization gives grouped P2 stiffness.
EQ_WALL_MODAL_PDE	ANCHORS	MATH_WALL_MODAL_PDE	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_WALL_P2_STIFFNESS	SUPPORTS_CLAIM	CLAIM_STAGE2_AL_RECOVERY	exact_within_wall_action	Equation anchor supports this named claim.
EQ_WALL_P2_STIFFNESS	FEEDS	EQ_BDG_SCHUR_KERNEL	reduced	Bare P2 wall operator is then dressed by BdG support.
EQ_WALL_P2_STIFFNESS	ANCHORS	PHYS_GROUPED_P2_SHAPE_RESPONSE	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_WEAK_AXISYM_SIGNATURE	SUPPORTS_CLAIM	CLAIM_5PN_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Equation anchor supports this named claim.
EQ_WEAK_AXISYM_SIGNATURE	SUPPORTS_CLAIM	CLAIM_STAGE024_O3_ISOTROPY	exact_angular_reduced	Equation anchor supports this named claim.
EQ_WEAK_AXISYM_SIGNATURE	ORGANIZES	EQ_XI1_PREF_SLOPE	exact_first_order	Weak-axisymmetric signature carries prefactor slope Xi1.
EQ_WEAK_AXISYM_SIGNATURE	ANCHORS	MATH_WEAK_AXISYM_SPLITTING	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_XI1_PREF_SLOPE	SUPPORTS_CLAIM	CLAIM_G2_COMMON_QUOTIENT	conditional_reduced_residual	Equation anchor supports this named claim.
EQ_XI1_PREF_SLOPE	SUPPORTS_CLAIM	CLAIM_PACKET_A_PACKET_B_SPLIT	open_branch_packets	Equation anchor supports this named claim.
EQ_XI1_PREF_SLOPE	ANCHORS	MATH_XI1_PREF_SLOPE	equation_anchor	Equation anchor belongs to or formalizes this graph node.
EQ_ZERO_MODE_MAXWELL	FEEDS	ATOM_HYDROGEN_ZERO_MODE	reduced	Provides the Coulomb sector used in first-pass atomic reduction.
EQ_ZERO_MODE_MAXWELL	SUPPORTS_CLAIM	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Equation anchor supports this named claim.
EQ_ZERO_MODE_MAXWELL	SUPPORTS_CLAIM	CLAIM_MAXWELL_GAUGE_LOCALIZATION_PATCH	safe_interpretation_or_structural_patch	Equation anchor supports this named claim.
EQ_ZERO_MODE_MAXWELL	SUPPORTS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Equation anchor supports this named claim.
EQ_ZERO_MODE_MAXWELL	SUPPORTS_CLAIM	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	controlled_reduction	Equation anchor supports this named claim.
EQ_ZERO_MODE_MAXWELL	ANCHORS	MATH_ZERO_MODE_MAXWELL	equation_anchor	Equation anchor belongs to or formalizes this graph node.
FILE_1PN_BRIDGE	OWNS_OR_ANCHORS_CLAIM	CLAIM_1PN_EIH_WITHIN_HIERARCHY	exact_assembly_within_closure	Source artifact anchors this claim.
FILE_1PN_BRIDGE	DOCUMENTS	PN_1_EIH_FULL	source_anchor	File anchor documents this node.
FILE_1PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_1PN_EIH_WITHIN_HIERARCHY	exact_assembly_within_closure	Source artifact anchors this claim.
FILE_1PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_1PN_FULL	CONTAINS_EQUATION	EQ_1PN_EIH_EQUALITY	source_anchor	Source artifact contains or supports EQ_1PN_EIH_EQUALITY.
FILE_1PN_FULL	DOCUMENTS	PN_1_EIH_FULL	source_anchor	File anchor documents this node.
FILE_2PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_2PN_ADM_WITHIN_HIERARCHY	exact_assembly_within_closure	Source artifact anchors this claim.
FILE_2PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_2PN_FULL	CONTAINS_EQUATION	EQ_2PN_ADM_EQUALITY	source_anchor	Source artifact contains or supports EQ_2PN_ADM_EQUALITY.
FILE_2PN_FULL	DOCUMENTS	PN_2_ADM_FULL	source_anchor	File anchor documents this node.
FILE_2_5PN	OWNS_OR_ANCHORS_CLAIM	CLAIM_25PN_QUAD_NARROWING	conditional_theorem_open_normalization	Source artifact anchors this claim.
FILE_2_5PN	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE022_P0_TARGET	exact_within_grouped_bridge	Source artifact anchors this claim.
FILE_2_5PN	CONTAINS_EQUATION	EQ_P0_TARGET	source_anchor	Source artifact contains or supports EQ_P0_TARGET.
FILE_2_5PN	DOCUMENTS	PN_2_5_QUAD_NARROWING	source_anchor	File anchor documents this node.
FILE_3PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	exact_assembly_within_closure	Source artifact anchors this claim.
FILE_3PN_FULL	CONTAINS_EQUATION	EQ_3PN_SPLIT	source_anchor	Source artifact contains or supports EQ_3PN_SPLIT.
FILE_3PN_FULL	DOCUMENTS	PN_3_GROUPED_P2_FULL	source_anchor	File anchor documents this node.
FILE_4D_PARENT	OWNS_OR_ANCHORS_CLAIM	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Source artifact anchors this claim.
FILE_4D_PARENT	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_4D_PARENT	OWNS_OR_ANCHORS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Source artifact anchors this claim.
FILE_4D_PARENT	OWNS_OR_ANCHORS_CLAIM	CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	exact_projection_plus_controlled_hook	Source artifact anchors this claim.
FILE_4D_PARENT	OWNS_OR_ANCHORS_CLAIM	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	controlled_reduction	Source artifact anchors this claim.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_BULK_CONTINUITY	source_anchor	Source artifact contains or supports EQ_BULK_CONTINUITY.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_GNLS_BULK	source_anchor	Source artifact contains or supports EQ_GNLS_BULK.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_LONGITUDINAL_IDENTITY	source_anchor	Source artifact contains or supports EQ_LONGITUDINAL_IDENTITY.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_PARENT_ACTION_CURRENT	source_anchor	Source artifact contains or supports EQ_PARENT_ACTION_CURRENT.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_PROJECTED_CONTINUITY	source_anchor	Source artifact contains or supports EQ_PROJECTED_CONTINUITY.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_QEFF_NORMALIZATION	source_anchor	Source artifact contains or supports EQ_QEFF_NORMALIZATION.
FILE_4D_PARENT	CONTAINS_EQUATION	EQ_ZERO_MODE_MAXWELL	source_anchor	Source artifact contains or supports EQ_ZERO_MODE_MAXWELL.
FILE_4D_PARENT	DOCUMENTS	MATH_LONGITUDINAL_IDENTITY	source_anchor	File anchor documents this node.
FILE_4D_PARENT	DOCUMENTS	MATH_PARENT_ACTION_CURRENT	source_anchor	File anchor documents this node.
FILE_4D_PARENT	DOCUMENTS	MATH_PROJECTED_CONTINUITY	source_anchor	File anchor documents this node.
FILE_4D_PARENT	DOCUMENTS	MATH_QSTAR_QEFF	source_anchor	File anchor documents this node.
FILE_4PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	local_closed_tail_conditional	Source artifact anchors this claim.
FILE_4PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE022_P0_TARGET	exact_within_grouped_bridge	Source artifact anchors this claim.
FILE_4PN_FULL	CONTAINS_EQUATION	EQ_4PN_TAIL_BRIDGE	source_anchor	Source artifact contains or supports EQ_4PN_TAIL_BRIDGE.
FILE_4PN_FULL	CONTAINS_EQUATION	EQ_P0_TARGET	source_anchor	Source artifact contains or supports EQ_P0_TARGET.
FILE_4PN_FULL	DOCUMENTS	PN_4_LOCAL_TAIL	source_anchor	File anchor documents this node.
FILE_5PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_5PN_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Source artifact anchors this claim.
FILE_5PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_G2_COMMON_QUOTIENT	conditional_reduced_residual	Source artifact anchors this claim.
FILE_5PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE023_FULL_BUNDLE_RATIO	exact_within_reduced_bundle	Source artifact anchors this claim.
FILE_5PN_FULL	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE024_O3_ISOTROPY	exact_angular_reduced	Source artifact anchors this claim.
FILE_5PN_FULL	CONTAINS_EQUATION	EQ_FULL_BUNDLE_TARGET_SURFACE	source_anchor	Source artifact contains or supports EQ_FULL_BUNDLE_TARGET_SURFACE.
FILE_5PN_FULL	CONTAINS_EQUATION	EQ_MONOMIAL_QUOTIENT	source_anchor	Source artifact contains or supports EQ_MONOMIAL_QUOTIENT.
FILE_5PN_FULL	CONTAINS_EQUATION	EQ_WEAK_AXISYM_SIGNATURE	source_anchor	Source artifact contains or supports EQ_WEAK_AXISYM_SIGNATURE.
FILE_5PN_FULL	CONTAINS_EQUATION	EQ_XI1_PREF_SLOPE	source_anchor	Source artifact contains or supports EQ_XI1_PREF_SLOPE.
FILE_5PN_FULL	DOCUMENTS	PN_5_FULL_BUNDLE_SURFACE	source_anchor	File anchor documents this node.
FILE_ATOM_WORK	DOCUMENTS	ATOM_FINITE_SIZE_P22	source_anchor	File anchor documents this node.
FILE_ATOM_WORK	DOCUMENTS	ATOM_HYDROGEN_ZERO_MODE	source_anchor	File anchor documents this node.
FILE_ATOM_WORK	OWNS_OR_ANCHORS_CLAIM	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Source artifact anchors this claim.
FILE_ATOM_WORK	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_MAXWELL_GAUGE_LOCALIZATION_PATCH	safe_interpretation_or_structural_patch	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_MIXED_SECTOR_MICROSCOPIC	exact_gauge_invariant_with_reduced_uses	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_PARENT_ACTION_CURRENT_EXACT	exact_parent_current	Source artifact anchors this claim.
FILE_EM_FIELDS	OWNS_OR_ANCHORS_CLAIM	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	controlled_reduction	Source artifact anchors this claim.
FILE_EM_FIELDS	CONTAINS_EQUATION	EQ_QEFF_NORMALIZATION	source_anchor	Source artifact contains or supports EQ_QEFF_NORMALIZATION.
FILE_EM_FIELDS	CONTAINS_EQUATION	EQ_ZERO_MODE_MAXWELL	source_anchor	Source artifact contains or supports EQ_ZERO_MODE_MAXWELL.
FILE_EM_FIELDS	DOCUMENTS	MATH_LOCALIZED_MAXWELL_AM	source_anchor	File anchor documents this node.
FILE_EM_FIELDS	DOCUMENTS	MATH_MIXED_FIELDS_EW_CA	source_anchor	File anchor documents this node.
FILE_EM_FIELDS	DOCUMENTS	MATH_QSTAR_QEFF	source_anchor	File anchor documents this node.
FILE_EM_FIELDS	DOCUMENTS	MATH_ZERO_MODE_MAXWELL	source_anchor	File anchor documents this node.
FILE_G2_OUTPUT	DOCUMENTS	ANOMALY_G2_COMMON_QUOTIENT	source_anchor	File anchor documents this node.
FILE_G2_OUTPUT	DOCUMENTS	ANOMALY_G2_STAGGERED_BASELINE	source_anchor	File anchor documents this node.
FILE_G2_OUTPUT	OWNS_OR_ANCHORS_CLAIM	CLAIM_G2_COMMON_QUOTIENT	conditional_reduced_residual	Source artifact anchors this claim.
FILE_G2_OUTPUT	CONTAINS_EQUATION	EQ_G2_COMMON_TANGENT	source_anchor	Source artifact contains or supports EQ_G2_COMMON_TANGENT.
FILE_G2_OUTPUT	CONTAINS_EQUATION	EQ_MONOMIAL_QUOTIENT	source_anchor	Source artifact contains or supports EQ_MONOMIAL_QUOTIENT.
FILE_G2_OUTPUT	CONTAINS_EQUATION	EQ_XI1_PREF_SLOPE	source_anchor	Source artifact contains or supports EQ_XI1_PREF_SLOPE.
FILE_LEPTON_MASS	OWNS_OR_ANCHORS_CLAIM	CLAIM_LEPTON_MASS_REDUCED_LEDGER	reduced_closure_theorem_open_scale	Source artifact anchors this claim.
FILE_LEPTON_MASS	CONTAINS_EQUATION	EQ_LEPTON_MASS_PARTITION	source_anchor	Source artifact contains or supports EQ_LEPTON_MASS_PARTITION.
FILE_LEPTON_MASS	DOCUMENTS	LEPTON_MASS_REDUCED_LEDGER	source_anchor	File anchor documents this node.
FILE_LEPTON_WORK	OWNS_OR_ANCHORS_CLAIM	CLAIM_CHARGE_ONTOLOGY_FIREWALL	exact_bookkeeping_firewall	Source artifact anchors this claim.
FILE_LEPTON_WORK	OWNS_OR_ANCHORS_CLAIM	CLAIM_LEPTON_HALF_INTEGER_CONDITIONAL	conditional_open	Source artifact anchors this claim.
FILE_LEPTON_WORK	OWNS_OR_ANCHORS_CLAIM	CLAIM_LEPTON_MASS_REDUCED_LEDGER	reduced_closure_theorem_open_scale	Source artifact anchors this claim.
FILE_LEPTON_WORK	CONTAINS_EQUATION	EQ_LEPTON_HALF_INTEGER	source_anchor	Source artifact contains or supports EQ_LEPTON_HALF_INTEGER.
FILE_LEPTON_WORK	CONTAINS_EQUATION	EQ_LEPTON_MASS_PARTITION	source_anchor	Source artifact contains or supports EQ_LEPTON_MASS_PARTITION.
FILE_LEPTON_WORK	DOCUMENTS	LEPTON_HALF_INTEGER_CONDITIONAL	source_anchor	File anchor documents this node.
FILE_LEPTON_WORK	DOCUMENTS	LEPTON_MIXED_BERRY_ROTOR	source_anchor	File anchor documents this node.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_5PN_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_BRANCH_EXPORTER_REQUIRED	open_actual_branch	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_MATERIAL_CLOSURE_GAP	open	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_MIXED_RECIRCULATION_OPEN	open	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_MIXED_SECTOR_MICROSCOPIC	exact_gauge_invariant_with_reduced_uses	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_PACKET_A_PACKET_B_SPLIT	open_branch_packets	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_RESPONSE_READOUT_DISCIPLINE	paper_facing_ontology_discipline	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE1_GEOMETRY_LIFT	effective_geometry_lift	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE2_AL_RECOVERY	exact_within_wall_action	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE3_BDG_SCHUR	exact_within_reduced_stable_modes	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	exact_within_reduced_mixed_kernel	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE022_P0_TARGET	exact_within_grouped_bridge	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE023_FULL_BUNDLE_RATIO	exact_within_reduced_bundle	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE024_O3_ISOTROPY	exact_angular_reduced	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	OWNS_OR_ANCHORS_CLAIM	CLAIM_STAGE025_031_SELECTED_BRANCH	exact_within_selected_reduced_branch	Source artifact anchors this claim.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_BDG_SCHUR_KERNEL	source_anchor	Source artifact contains or supports EQ_BDG_SCHUR_KERNEL.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_BULK_CONTINUITY	source_anchor	Source artifact contains or supports EQ_BULK_CONTINUITY.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_COMPACT_L2_FINGERPRINT	source_anchor	Source artifact contains or supports EQ_COMPACT_L2_FINGERPRINT.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_GNLS_BULK	source_anchor	Source artifact contains or supports EQ_GNLS_BULK.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_GROUPED_RESPONSE_MOMENTS	source_anchor	Source artifact contains or supports EQ_GROUPED_RESPONSE_MOMENTS.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_MAXWELL_MIXED_TRANSFER	source_anchor	Source artifact contains or supports EQ_MAXWELL_MIXED_TRANSFER.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_P0_TARGET	source_anchor	Source artifact contains or supports EQ_P0_TARGET.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_WALL_MODAL_PDE	source_anchor	Source artifact contains or supports EQ_WALL_MODAL_PDE.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_WALL_P2_STIFFNESS	source_anchor	Source artifact contains or supports EQ_WALL_P2_STIFFNESS.
FILE_MOVING_THROAT_COMPACT	CONTAINS_EQUATION	EQ_WEAK_AXISYM_SIGNATURE	source_anchor	Source artifact contains or supports EQ_WEAK_AXISYM_SIGNATURE.
FILE_MOVING_THROAT_COMPACT	DOCUMENTS	MT_STAGE1_GEOMETRY_LIFT	source_anchor	File anchor documents this node.
FILE_MOVING_THROAT_COMPACT	DOCUMENTS	OPEN_ACTUAL_BRANCH_EXPORTER	source_anchor	File anchor documents this node.
